2008-11-04,TOR,CAR,4,4
2008-11-04,LAK,ANA,0,0
2008-11-04,NYR,NYI,1,2
2008-11-04,VAN,NSH,4,0
2008-11-03,CHI,COL,6,2
2008-11-03,NYI,CBJ,3,3
2008-11-03,NJD,BUF,0,2
2008-11-02,VAN,DET,2,3
2008-11-02,COL,SJS,3,5
2008-11-02,ANA,CGY,3,2
2008-11-02,CAR,TOR,6,4
2008-11-02,ATL,FLA,5,3
2008-11-02,PHI,EDM,4,5
2008-11-01,TBL,OTT,2,2
2008-12-13,PHI,PIT,6,3
2008-12-13,LAK,MIN,3,1
2008-12-12,ATL,BOS,3,7
2008-12-12,DAL,DET,3,1
2008-12-12,BUF,TOR,1,2
2008-12-12,NJD,NYR,8,5
2008-12-12,WSH,OTT,5,1
2008-12-12,COL,CHI,3,4
2008-12-12,CGY,FLA,2,2
2008-12-11,PIT,NYI,9,2
2008-12-11,SJS,ANA,2,0
2008-12-11,LAK,STL,6,2
2008-12-11,PHI,CAR,5,5
2008-12-11,EDM,FLA,0,2
2008-12-11,PHX,MIN,3,1
2008-11-01,STL,PIT,3,6
2008-11-01,TOR,NYR,5,2
2008-11-01,LAK,CGY,2,3
2008-11-01,NJD,ATL,6,1
2008-11-01,NSH,FLA,2,2
2008-11-01,BOS,DAL,5,1
2008-11-01,NYI,MTL,4,5
2008-11-01,BUF,WSH,5,0
2008-11-01,PHX,MIN,2,3
2008-11-01,CBJ,CHI,3,3
2008-11-01,CAR,EDM,1,3
2008-10-31,CHI,DAL,5,2
2008-10-31,ANA,VAN,6,6
2008-10-30,STL,CAR,0,1
2008-10-30,LAK,VAN,0,4
2008-10-30,FLA,OTT,1,2
2008-10-30,SJS,DET,4,2
2008-10-30,NYR,ATL,3,2
2008-10-30,MIN,MTL,1,2
2008-10-30,PHX,PIT,4,1
2008-10-30,PHI,NYI,2,2
2008-10-30,COL,CBJ,2,4
2008-10-30,BUF,TBL,2,5
2008-10-30,NSH,EDM,3,1
2008-10-30,CGY,BOS,3,2
2008-10-29,NJD,TOR,5,5
2008-10-29,DAL,MIN,4,2
2008-10-29,ANA,DET,4,4
2008-10-28,MTL,CAR,2,2
2008-10-28,CGY,COL,3,0
2008-10-28,SJS,PIT,2,1
2008-10-28,MTL,CAR,2,2
2008-10-28,WSH,NSH,3,3
2008-10-28,ATL,PHI,0,7
2008-10-28,VAN,BOS,0,1
2008-10-27,LAK,DET,3,3
2008-10-27,CBJ,ANA,2,3
2008-10-27,MIN,CHI,3,2
2008-10-27,BUF,OTT,2,5
2008-10-27,EDM,BOS,0,0
2008-10-27,NYI,NYR,2,4
2008-10-25,TBL,SJS,0,3
2008-10-25,CHI,DET,5,5
2008-10-25,STL,FLA,4,0
2008-10-25,MIN,CBJ,2,1
2008-10-25,COL,BUF,1,1
2008-10-25,TOR,OTT,3,2
2008-10-25,DAL,WSH,5,5
2008-10-25,VAN,EDM,6,3
2008-10-25,MTL,ANA,4,6
2008-10-25,PHX,CGY,1,4
2008-10-25,NYI,CAR,3,4
2008-10-25,NSH,LAK,5,4
2008-10-25,BOS,ATL,5,4
2008-10-25,NYR,PIT,2,2
